row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.SocialEconomic,ClimateChange.ExtremeEvents
135,"AL, Choctaw, 01023956800",1023956800,"+32.0656633,-088.2128479",0.561133507,0.710241793,0.537108693,0.64891649,0.263630633,0.532643428,0.739195228,0.496198286
136,"AL, Choctaw, 01023956900",1023956900,"+31.9275928,-088.3326295",0.552345839,0.678783693,0.512841686,0.626730648,0.217464212,0.612385888,0.734427855,0.483786889
137,"AL, Choctaw, 01023957000",1023957000,"+31.7591070,-088.3016638",0.564041391,0.737733322,0.552788216,0.610186598,0.273041107,0.589401982,0.70492319,0.480215324
138,"AL, Clarke, 01025957500",1025957500,"+31.7929013,-087.6425154",0.590475515,0.823832352,0.546409632,0.685898518,0.340539785,0.620104918,0.622649054,0.493894348
139,"AL, Clarke, 01025957601",1025957601,"+31.8884818,-087.8913637",0.544969856,0.782910654,0.510175113,0.678643589,0.158516909,0.606655357,0.596347574,0.481539799
140,"AL, Clarke, 01025957602",1025957602,"+31.9121978,-087.6935962",0.564888041,0.712240309,0.58852382,0.60175037,0.289762654,0.597975751,0.678406233,0.48555715
141,"AL, Clarke, 01025957700",1025957700,"+31.8398667,-088.0593810",0.585160496,0.808940626,0.658040355,0.6493104,0.259484631,0.613088764,0.628976534,0.478282163
142,"AL, Clarke, 01025957800",1025957800,"+31.6170174,-087.6979772",0.628047128,0.830163477,0.648364479,0.710150932,0.312141941,0.621822407,0.684571854,0.589114804
143,"AL, Clarke, 01025957901",1025957901,"+31.6379289,-087.9598566",0.595426296,0.850339921,0.596608807,0.615555194,0.342413898,0.59788336,0.677753355,0.487429534
144,"AL, Clarke, 01025957902",1025957902,"+31.5011616,-087.8723338",0.636663759,0.818164424,0.64792947,0.710992371,0.430335192,0.623763217,0.671434036,0.554027604
145,"AL, Clarke, 01025958001",1025958001,"+31.5580814,-087.7826833",0.565560751,0.810488558,0.532810684,0.665933461,0.259922212,0.612218554,0.579144227,0.498407561
146,"AL, Clarke, 01025958002",1025958002,"+31.3573817,-087.8407503",0.614140607,0.843799315,0.634997039,0.710712798,0.291904035,0.629008028,0.604765625,0.58379741
147,"AL, Clay, 01027958900",1027958900,"+33.3872783,-085.7690615",0.573020599,0.608206929,0.496266282,0.602520076,0.288463999,0.769327479,0.762268379,0.484091048
148,"AL, Clay, 01027959000",1027959000,"+33.3093759,-085.8820883",0.623888824,0.727023178,0.672834564,0.614694386,0.299493937,0.842841469,0.732638579,0.477695655
149,"AL, Clay, 01027959100",1027959100,"+33.1784584,-085.7811516",0.551846756,0.653394048,0.395631943,0.52224155,0.255673878,0.844928563,0.710880044,0.480177265
150,"AL, Clay, 01027959200",1027959200,"+33.1781831,-086.0215486",0.570743181,0.66063829,0.459848243,0.563143062,0.281752593,0.824095843,0.707705423,0.498018812
151,"AL, Cleburne, 01029959500",1029959500,"+33.8207588,-085.4723231",0.567905131,0.619549616,0.491386269,0.57764025,0.236863836,0.753462266,0.827833507,0.468600173
152,"AL, Cleburne, 01029959600",1029959600,"+33.6995822,-085.5731406",0.620517994,0.697026142,0.592658229,0.580353727,0.385348912,0.748872197,0.868514635,0.470852115
153,"AL, Cleburne, 01029959700",1029959700,"+33.5592943,-085.6428256",0.607307465,0.654032542,0.554031904,0.587271719,0.354878312,0.752248057,0.875182156,0.473507563
154,"AL, Cleburne, 01029959800",1029959800,"+33.5723977,-085.3977259",0.57127618,0.577832799,0.434670168,0.632792057,0.269552023,0.748548661,0.859997291,0.475540259
155,"AL, Coffee, 01031010100",1031010100,"+31.5629467,-086.0563149",0.562211163,0.709816929,0.509318552,0.697564311,0.296859279,0.555811865,0.648889215,0.517217991
156,"AL, Coffee, 01031010200",1031010200,"+31.5375844,-085.8984006",0.546982145,0.66492903,0.510734668,0.662339099,0.326315566,0.557152019,0.589307256,0.518097375
157,"AL, Coffee, 01031010300",1031010300,"+31.4234480,-085.8694559",0.533413066,0.62791335,0.456033892,0.647480837,0.278097097,0.565346435,0.638720633,0.52029922
